gene_name	chr	gene_start	gene_end	TSS_start	TSS_end	strand
SDK1	chr7	3301252	4269000	4232886	4232936	+
ANKS4B	chr16	21233699	21253850	21233664	21233714	+
ZNF501	chr3	44729592	44737079	44729623	44729673	+
EMC8	chr16	85771758	85799608	85799558	85799608	-
TXLNB	chr6	139240061	139291998	139292089	139292139	-
SH2B1	chr16	28846600	28874212	28863558	28863608	+
JPH3	chr16	87601835	87698156	87602904	87602954	+
CPEB1	chr15	82543201	82648861	82571773	82571823	-
FAN1	chr15	30890559	30943108	30903872	30903922	+
PABPC3	chr13	25096136	25099254	25095867	25095917	+
LCN2	chr9	128149071	128153453	128149471	128149521	+
SCN5A	chr3	38548057	38649687	38633299	38633349	-
OR2H1	chr6	29457248	29464396	29459770	29459820	+
NIPSNAP1	chr22	29554808	29581327	29581050	29581100	-
SETDB2	chr13	49444274	49495003	49444373	49444423	+
HLA-DQB2	chr6	32796644	32804081	32763484	32763534	-
ZBTB39	chr12	56998836	57006546	57006404	57006446	-
SCGB1A1	chr11	62405103	62423195	62419034	62419084	+
STOM	chr9	121338987	121370304	121370254	121370304	-
BLOC1S4	chr4	6716174	6717664	6716054	6716104	+
ABLIM2	chr4	7965310	8158832	8158782	8158832	-
POLD4	chr11	67350772	67356972	67353538	67353579	-
ARHGAP25	chr2	68679601	68826833	68735108	68735158	+
WRN	chr8	31033788	31176138	31033800	31033850	+
NR2C2	chr3	14947583	15053600	14948631	14948681	+
MCCD1	chr6	31568197	31569712	31528716	31528766	+
ZCCHC14	chr16	87406246	87493024	87417876	87417926	-
EXOC1L	chr4	55819790	55837489	55820002	55820052	+
ING2	chr4	183505058	183512429	183506081	183506131	+
PHF21B	chr22	44881162	45010005	45009949	45009999	-
ABHD12	chr20	25294742	25390835	25309448	25309498	-
WDR36	chr5	111092321	111130502	111092313	111092363	+
SCGB1D2	chr11	62242239	62244812	62242209	62242259	+
SLC39A10	chr2	195575977	195737702	195575976	195576026	+
ITGAM	chr16	31259967	31332892	31271884	31271934	+
EPG5	chr18	45847609	45967329	45916755	45916805	-
FAM216B	chr13	42781550	42791549	42781549	42781599	+
DLX1	chr2	172084740	172089677	172084739	172084789	+
SLC45A4	chr8	141207166	141308305	141230298	141230348	-
SETMAR	chr3	4303332	4317265	4303360	4303410	+
H2AC6	chr6	26124145	26139116	26124202	26124252	+
FOXC1	chr6	1609915	1613897	1609971	1610021	+
HTD2	chr3	58306262	58320193	58306261	58306311	+
BAHD1	chr15	40439721	40468236	40458464	40458514	+
XKR4	chr8	55102028	55542054	55526185	55526235	+
FOXL2NB	chr3	138947217	138953990	138947611	138947661	+
TRIM27	chr6	28902993	28923981	28921926	28921976	-
DPP3	chr11	66480013	66509657	66492466	66492516	+
TRAF3IP1	chr2	238320441	238400897	238320535	238320585	+
NPIPB9	chr16	28751787	28772807	28751786	28751836	+
SF3B1	chr2	197388515	197435079	197435029	197435079	-
ENPP7	chr17	79730943	79742219	79730918	79730968	+
CNTLN	chr9	17134982	17503923	17135039	17135089	+
GSTA3	chr6	52896639	52909698	52909640	52909666	-
CST2	chr20	23823769	23826729	23826681	23826731	-
TRIB2	chr2	12716910	12742734	12718237	12718287	+
TMEM207	chr3	190428655	190449901	190449826	190449876	-
HSF1	chr8	144291591	144314720	144309268	144309318	+
TNK1	chr17	7380534	7389774	7381088	7381114	+
AMD1	chr6	110874770	110898879	110874769	110874819	+
FKBP7	chr2	178463664	178478600	178478545	178478595	-
MRFAP1L1	chr4	6707701	6709865	6709830	6709880	-
ZNF92	chr7	65373799	65401136	65373837	65373887	+
MTURN	chr7	30134986	30162762	30145800	30145850	+
H2AC15	chr6	27837880	27838375	27838289	27838339	-
ORC6	chr16	46689643	46698394	46689645	46689695	+
PIBF1	chr13	72782133	73016461	72884443	72884493	+
CYP7A1	chr8	58490178	58500163	58500186	58500236	-
FAM53B	chr10	124619292	124744378	124742920	124742970	-
RILP	chr17	1646145	1650077	1648982	1649032	-
VPS25	chr17	42773449	42779599	42773435	42773485	+
SF3B3	chr16	70523791	70577670	70569914	70569964	+
ZNF197	chr3	44584888	44648471	44625018	44625068	+
USH1G	chr17	74916083	74923256	74923206	74923256	-
KANSL2	chr12	48653211	48682238	48681560	48681610	-
PAMR1	chr11	35431823	35530300	35525547	35525597	-
VEGFA	chr6	43770184	43786487	43771208	43771258	+
PKM	chr15	72199029	72231819	72229672	72229722	-
OR10AG1	chr11	55965755	55969945	55968413	55968463	-
TBC1D9	chr4	140620782	140756385	140661913	140661963	-
NHSL1	chr6	138422043	138692571	138499444	138499494	-
GCC1	chr7	127580628	127593611	127593561	127593611	-
TNPO3	chr7	128954180	129055173	129054864	129054914	-
OR5B17	chr11	58358124	58359069	58359019	58359069	-
ANKRD2	chr10	97572499	97583884	97572778	97572828	+
MYH2	chr17	10521148	10549700	10549650	10549700	-
SPATA31A6	chr9	42183659	42189887	42185271	42185321	+
RBM14-RBM4	chr11	66616626	66646469	66616625	66616675	+
CDC42EP1	chr22	37560480	37569405	37563653	37563703	+
ACSS2	chr20	34872146	34927962	34922841	34922891	+
ARFIP2	chr11	6474683	6481479	6481293	6481343	-
UBE2J1	chr6	89326625	89352722	89352798	89352848	-
C11orf21	chr11	2295628	2303049	2302010	2302060	-
CLEC18B	chr16	74408631	74421478	74421420	74421470	-
RTP5	chr2	241869600	241873823	241869599	241869649	+
C4A	chr6	31972402	31993060	31994407	31994457	+
TM4SF5	chr17	4771884	4783213	4771883	4771933	+
PLAA	chr9	26903372	26947242	26919411	26919461	-
SMAP1	chr6	70667776	70862011	70668529	70668579	+
PCBD1	chr10	70882280	70888565	70885849	70885899	-
FHIT	chr3	59747277	61251459	61251409	61251459	-
ZEB2	chr2	144364364	144521057	144517847	144517897	-
RPS6KB1	chr17	59893046	59950574	59893085	59893135	+
ACTR5	chr20	38748460	38772520	38748441	38748491	+
CPNE4	chr3	131533555	132285410	132040200	132040250	-
DSP	chr6	7541617	7586714	7541616	7541666	+
RIPOR1	chr16	67518418	67546788	67528287	67528337	+
APOA1	chr11	116835751	116837622	116837560	116837610	-
ART4	chr12	14825569	14843526	14843012	14843062	-
APTX	chr9	32886601	33025130	33001591	33001641	-
MAPK1	chr22	21759657	21867680	21867630	21867680	-
TSNARE1	chr8	142212080	142403182	142403132	142403182	-
MRPS35	chr12	27710822	27756295	27710821	27710871	+
ACY1	chr3	51983340	51989197	51983461	51983511	+
HNRNPA0	chr5	137745651	137754363	137754326	137754376	-
CAPN7	chr3	15206152	15252916	15206151	15206201	+
ELF5	chr11	34478791	34525193	34511749	34511799	-
POC1B-GALNT4	chr12	89519408	89526262	89526148	89526198	-
ZNF445	chr3	44431705	44477670	44455650	44455700	-
LXN	chr3	158645822	158672648	158672643	158672693	-
RNF146	chr6	127266726	127288567	127266839	127266889	+
MRAS	chr3	138347648	138405534	138347647	138347697	+
OTUD6B	chr8	91070196	91087095	91070324	91070374	+
PLK2	chr5	58453982	58460139	58460036	58460086	-
SLC7A5	chr16	87830023	87869507	87836755	87836805	-
RBAK-RBAKDN	chr7	4983718	5073221	5045910	5045958	+
MEP1B	chr18	32185069	32220404	32190024	32190074	+
CLN3	chr16	28474111	28495575	28492032	28492082	-
ACADSB	chr10	123008979	123058290	123027533	123027583	+
MUC2	chr11	1086525	1116069	1094473	1094523	+
IQUB	chr7	123452193	123535077	123534614	123534664	-
PARD3B	chr2	204545475	205620162	204545999	204546049	+
SESN3	chr11	95165513	95232541	95232491	95232541	-
CNTNAP4	chr16	76277278	76560757	76277662	76277712	+
TIMELESS	chr12	56416363	56449426	56449353	56449403	-
STMND1	chr6	17102050	17131378	17127937	17127987	+
C6orf120	chr6	169702190	169704856	169702189	169702239	+
ACAT1	chr11	108116695	108147603	108146120	108146170	+
THAP6	chr4	75513946	75550473	75514437	75514487	+
CYP3A7-CYP3A51P	chr7	99684957	99735102	99735052	99735102	-
EIF4A2	chr3	186783205	186789897	186783571	186783621	+
GLYAT	chr11	58640426	58731974	58731911	58731961	-
SLC25A25	chr9	128068201	128109245	128091463	128091513	+
PHF2	chr9	93576584	93679587	93576626	93576676	+
DSC2	chr18	31058840	31102522	31102365	31102415	-
TBX4	chr17	61452404	61485110	61464213	61464263	+
B4GALNT4	chr11	369499	382117	380291	380341	+
UNC119	chr17	28546708	28552631	28552581	28552631	-
HYDIN	chr16	70802084	71230718	71230672	71230722	-
PODXL	chr7	131500262	131558217	131556559	131556609	-
ALKBH3	chr11	43880811	43920274	43918803	43918853	+
FABP1	chr2	88122982	88128062	88128009	88128059	-
KRTAP5-8	chr11	71538025	71539209	71538024	71538074	+
LMF1	chr16	853634	981318	893202	893252	-
C10orf67	chr10	23202696	23344845	23343914	23343964	-
SPDEF	chr6	34537802	34556333	34556283	34556333	-
OCA2	chr15	27871154	28099370	28099308	28099358	-
TMEM170A	chr16	75443054	75465497	75464687	75464737	-
SCUBE2	chr11	9019476	9138114	9021979	9022029	-
ANKRD54	chr22	37830855	37849327	37844273	37844323	-
ALB	chr4	73397114	73421482	73404254	73404304	+
STIM1	chr11	3854527	4093210	3888086	3888136	+
CBWD3	chr9	68232003	68300035	68256920	68256970	+
PPID	chr4	158709127	158723396	158710771	158710821	-
ANO9	chr11	417933	442011	421236	421286	-
ITPA	chr20	3208868	3223870	3209488	3209535	+
MYO18B	chr22	25742144	26031045	25901177	25901227	+
SPAG8	chr9	35808045	35812272	35812222	35812272	-
DERL1	chr8	123013170	123042302	123042252	123042302	-
MFAP3	chr5	154038959	154220478	154097022	154097072	+
SCGB3A1	chr5	180590105	180591499	180591490	180591540	-
BEND7	chr10	13438484	13529014	13502926	13502976	-
TSPAN31	chr12	57738013	57750219	57738012	57738062	+
FAAP100	chr17	81539885	81553961	81552327	81552377	-
SRPRB	chr3	133784023	133825772	133806552	133806602	+
BTN3A1	chr6	26402237	26415208	26402249	26402299	+
CCL18	chr17	36064636	36072388	36070373	36070423	+
GPR22	chr7	107470143	107475810	107470017	107470049	+
NAA60	chr16	3443649	3486953	3443667	3443717	+
CEP135	chr4	55948871	56033361	55948944	55948994	+
EPHA6	chr3	96814581	97761532	97439629	97439657	+
CYP2E1	chr10	133520406	133561220	133537499	133537549	+
EVC2	chr4	5542772	5709548	5708517	5708567	-
LCMT1	chr16	25111731	25178231	25151524	25151574	+
KMT2C	chr7	152134922	152436644	152435955	152436005	-
SLC10A6	chr4	86823468	86849384	86849213	86849263	-
RBL1	chr20	36996349	37095997	37095945	37095995	-
TBC1D12	chr10	94402541	94536332	94534338	94534388	+
DDX50	chr10	68901286	68946847	68913426	68913476	+
TRMT11	chr6	125986479	126203817	125986525	125986575	+
PATE2	chr11	125776113	125778828	125778769	125778819	-
CHRNB3	chr8	42697366	42737407	42697418	42697468	+
C1QL4	chr12	49332409	49337188	49337138	49337188	-
SPPL3	chr12	120762510	120904358	120768581	120768631	-
GOLGA6L10	chr15	82418974	82428498	82349425	82349475	-
C11orf86	chr11	66975277	66977009	66975276	66975326	+
PICK1	chr22	38056311	38075701	38056310	38056360	+
PRR27	chr4	70133616	70176799	70154242	70154292	+
CBX7	chr22	39120167	39152680	39152490	39152540	-
ZNF316	chr7	6637318	6658279	6641884	6641934	+
COPS5	chr8	67043079	67083783	67061579	67061629	-
DNAAF8	chr16	4734344	4749396	4734501	4734551	+
DLX6	chr7	97005553	97011040	97006492	97006542	+
SRP68	chr17	76038775	76072517	76072457	76072507	-
CFC1B	chr2	130521197	130528604	130521196	130521246	+
ADGRG3	chr16	57668277	57689378	57668322	57668372	+
GSTP1	chr11	67583742	67586656	67586103	67586153	+
ABHD15	chr17	29560547	29567037	29567087	29567137	-
TMPO	chr12	98515579	98550351	98515617	98515667	+
NOXA1	chr9	137423350	137434406	137423349	137423399	+
HOXC12	chr12	53954903	53958956	53954833	53954883	+
EPB41L1	chr20	36091504	36232799	36214372	36214422	+
OR52D1	chr11	5488685	5489749	5488684	5488734	+
PLD6	chr17	17200995	17206333	17206265	17206315	-
TEX12	chr11	112167372	112172556	112167371	112167421	+
ASIC2	chr17	33013087	34174964	34174914	34174964	-
E2F3	chr6	20401879	20493714	20403678	20403728	+
DPYSL2	chr8	26514031	26658178	26619507	26619557	+
RGS10	chr10	119499817	119542719	119526044	119526094	-
BIN3	chr8	22620418	22669148	22669075	22669125	-
ESYT3	chr3	138434586	138481686	138473535	138473585	+
DAB2IP	chr9	121567057	121785530	121651593	121651643	+
SF3A1	chr22	30331988	30356919	30356869	30356919	-
LARP1	chr5	154682986	154817605	154792773	154792796	+
GCNT4	chr5	75025346	75052558	75030849	75030899	-
ZC3H12C	chr11	110093392	110171841	110135853	110135903	+
SIM2	chr21	36699115	36749917	36699132	36699182	+
PCOLCE	chr7	100602363	100608175	100603785	100603835	+
LZTR1	chr22	20982269	20999032	20986078	20986128	+
ING4	chr12	6650301	6663142	6663092	6663142	-
ODF2	chr9	128455186	128501292	128455186	128455228	+
H2BC15	chr6	27838545	27855709	27838600	27838650	+
ENKUR	chr10	24981979	25062279	25062229	25062279	-
PRRC1	chr5	127517640	127555085	127517639	127517689	+
CD36	chr7	80369575	80679277	80638515	80638565	+
RBM14	chr11	66616626	66629934	66617128	66617178	+
GIT1	chr17	29573475	29594054	29589577	29589627	-
PAQR9	chr3	142949164	142963674	142962507	142962557	-
TBRG4	chr7	45100100	45112047	45102521	45102571	-
ATG13	chr11	46617527	46674818	46617544	46617594	+
CRYBB3	chr22	25199858	25207359	25199849	25199899	+
BOLA3	chr2	74135400	74147912	74145458	74145508	-
ATRIP	chr3	48446710	48467645	48446732	48446782	+
PIAS2	chr18	46803218	46920160	46907949	46907999	-
PRTFDC1	chr10	24848614	24952606	24952554	24952604	-
VPS9D1	chr16	89707134	89720898	89719319	89719369	-
CISH	chr3	50606489	50611774	50611722	50611772	-
ADIPOQ	chr3	186842704	186858463	186842689	186842739	+
LCNL1	chr9	136981904	136986410	136984001	136984051	+
SOX14	chr3	137764315	137766334	137764283	137764333	+
PABPN1L	chr16	88863333	88866660	88866568	88866618	-
CLEC3B	chr3	45001548	45036071	45001547	45001597	+
GLS	chr2	190880821	190965552	190927015	190927065	+
DKK1	chr10	52314281	52318042	52315251	52315301	+
ABRAXAS2	chr10	124801819	124836667	124801784	124801834	+
KLHL30	chr2	238138668	238152947	238138721	238138758	+
ABCA2	chr9	137007234	137028915	137028827	137028877	-
C20orf173	chr20	35523186	35529652	35529573	35529623	-
SCIN	chr7	12570577	12660182	12589432	12589482	+
PYDC2	chr3	191461163	191461456	191461162	191461212	+
BTN1A1	chr6	26500303	26510425	26501220	26501270	+
MPPE1	chr18	11882622	11908366	11908280	11908330	-
FLNC	chr7	128830406	128859274	128830376	128830426	+
PDIA6	chr2	10783391	10837977	10820814	10820864	-
TANK	chr2	161136908	161236230	161160405	161160455	+
PSMD5	chr9	120815496	120842951	120842901	120842951	-
DAPL1	chr2	158795317	158862781	158795316	158795366	+
PON1	chr7	95297676	95324532	95324657	95324707	-
SPATA31D1	chr9	81988772	81995253	81988771	81988821	+
KRT75	chr12	52424070	52434371	52434475	52434525	-
TACR2	chr10	69403903	69416918	69416273	69416323	-
CTNNA2	chr2	79185231	80648861	79513134	79513184	+
NDFIP1	chr5	142108779	142154440	142142977	142143027	+
HDGFL1	chr6	22569566	22571666	22569492	22569542	+
TULP3	chr12	2877223	2941138	2890886	2890916	+
SGK1	chr6	134169248	134318112	134249490	134249540	-
TIMM22	chr17	997117	1003671	997116	997166	+
SLC17A6	chr11	22338381	22379503	22342976	22343026	+
GABARAP	chr17	7240008	7242449	7242202	7242252	-
KRTAP12-1	chr21	44681576	44682163	44682113	44682163	-
PARVG	chr22	44172956	44219533	44181397	44181447	+
RASSF8	chr12	25958232	26079892	25959064	25959114	+
DPM1	chr20	50934867	50959140	50958505	50958555	-
C12orf75	chr12	105235290	105396097	105353508	105353558	+
DNAJB14	chr4	99896248	99946618	99930484	99930534	-
CLK1	chr2	200853009	200864691	200858116	200858166	-
NFAT5	chr16	69565094	69704666	69566061	69566111	+
RIOK3	chr18	23453287	23486603	23453286	23453336	+
PASK	chr2	241106099	241150264	241149431	241149481	-
AAMP	chr2	218264129	218270178	218265871	218265921	-
PHF5A	chr22	41459717	41468692	41468675	41468725	-
VIPR2	chr7	159028175	159144867	159144809	159144859	-
TRAPPC12	chr2	3379675	3485094	3477714	3477764	+
GULP1	chr2	188291669	188595931	188570037	188570087	+
CCSER1	chr4	90127394	91605295	90127534	90127584	+
CSRP2	chr12	76858709	76879023	76879010	76879060	-
TBR1	chr2	161416297	161425870	161416330	161416380	+
KRTAP20-1	chr21	30616425	30616699	30616424	30616474	+
LY75-CD302	chr2	159771851	159904710	159904660	159904710	-
CLP1	chr11	57648188	57661865	57657751	57657801	+
IBSP	chr4	87799554	87812435	87799580	87799630	+
CAMKK1	chr17	3860315	3894891	3894841	3894891	-
ADAM33	chr20	3667965	3682246	3673697	3673747	-
AIMP2	chr7	6009255	6023834	6009254	6009304	+
SP140	chr2	230203110	230313215	230225741	230225791	+
PLCZ1	chr12	18683169	18738100	18737976	18738026	-
PIDD1	chr11	799179	809753	804625	804675	-
MTHFS	chr15	79833585	79897379	79896999	79897049	-
KCNMB3	chr3	179236691	179267002	179266952	179267002	-
SLC26A7	chr8	91209494	91398155	91357247	91357297	+
IGFBP3	chr7	45912245	45921874	45917376	45917426	-
OLIG1	chr21	33070141	33072413	33070143	33070193	+
PLXND1	chr3	129555214	129606676	129571808	129571858	-
GJB2	chr13	20187463	20192938	20189730	20189780	-
RNF208	chr9	137220247	137222240	137221531	137221581	-
ACBD5	chr10	27168135	27243046	27240829	27240879	-
PRSS21	chr16	2817180	2826304	2817278	2817328	+
INHBA	chr7	41667168	41705834	41703058	41703108	-
ZMAT2	chr5	140698680	140706686	140698679	140698729	+
CCDC85B	chr11	65890673	65891635	65890111	65890161	+
ME3	chr11	86441108	86672636	86672568	86672618	-
VPS33A	chr12	122229564	122266494	122249920	122249970	-
CLDN5	chr22	19523024	19527545	19525373	19525423	-
RAD18	chr3	8775402	8963773	8963420	8963470	-
EBPL	chr13	49660674	49691486	49691425	49691475	-
OR52A1	chr11	5146824	5154757	5186332	5186382	-
ULK3	chr15	74836118	74843346	74842648	74842698	-
TENM4	chr11	78652829	79441030	79439150	79439200	-
GAS1	chr9	86944362	86947506	86947139	86947189	-
TAS2R43	chr12	11091308	11092334	11092263	11092313	-
HAND1	chr5	154474972	154478227	154478214	154478264	-
PRR16	chr5	120464300	120687332	120464277	120464327	+
VIM	chr10	17228241	17237593	17228868	17228918	+
C2orf68	chr2	85605254	85612066	85612016	85612066	-
THADA	chr2	43230851	43596038	43391872	43391922	-
CDK1	chr10	60778331	60794852	60778456	60778506	+
NECAP1	chr12	8076939	8097881	8082254	8082304	+
SMARCE1	chr17	40624962	40648654	40637681	40637731	-
CCDC50	chr3	191329085	191398659	191361102	191361152	+
CRH	chr8	66176376	66178464	66178675	66178725	-
ATG16L2	chr11	72814406	72843674	72822482	72822532	+
SERPINB12	chr18	63542369	63569329	63556159	63556209	+
PIK3C2G	chr12	18242961	18648416	18261539	18261577	+
RAD9A	chr11	67317871	67398410	67395669	67395719	+
ZBTB46	chr20	63743668	63832038	63831194	63831244	-
WDR6	chr3	49007062	49015953	49007607	49007657	+
MTRF1L	chr6	152987362	153002709	153002486	153002536	-
FOXB1	chr15	60004234	60061730	60036129	60036179	+
MDH1	chr2	63588609	63607197	63588957	63589007	+
DMTN	chr8	22048995	22082527	22054906	22054956	+
EWSR1	chr22	29268009	29300525	29295525	29295575	+
ZBTB11	chr3	101648889	101677135	101677068	101677118	-
WDR12	chr2	202874261	203014798	202892624	202892674	-
EMID1	chr22	29205896	29259597	29215576	29215626	+
HLA-DRB5	chr6	32517353	32530287	32530237	32530287	-
CTSA	chr20	45890144	45898949	45891312	45891362	+
KDM4E	chr11	95025258	95027596	95025257	95025307	+
PAN2	chr12	56316223	56334053	56319439	56319489	-
CECR2	chr22	17359949	17558151	17477092	17477142	+
ATPSCKMT	chr5	10225507	10249897	10249857	10249897	-
THSD1	chr13	52377167	52416373	52406444	52406494	-
HIC1	chr17	2054154	2063241	2054214	2054264	+
ZNF80	chr3	114234631	114237578	114237528	114237578	-
LRIT3	chr4	109848107	109872315	109851329	109851379	+
GNG10	chr9	111661605	111670226	111661334	111661384	+
TMEM165	chr4	55395957	55453397	55417690	55417740	+
PANX2	chr22	50170731	50180295	50170760	50170810	+
PRLR	chr5	35048756	35230487	35230427	35230477	-
DDX52	chr17	37614320	37648026	37643414	37643464	-
OR5J2	chr11	56176618	56177556	56176617	56176667	+
MXD4	chr4	2247432	2262109	2255184	2255234	-
ABRACL	chr6	139028745	139043302	139028841	139028875	+
PGM2L1	chr11	74330316	74398433	74398423	74398473	-
PRKDC	chr8	47773111	47960178	47864742	47864792	-
FMNL1	chr17	45221444	45247319	45221788	45221838	+
SLC29A3	chr10	71319259	71381423	71319257	71319307	+
CNPY1	chr7	155474206	155555450	155533788	155533838	-
ASPHD1	chr16	29900375	29919864	29900857	29900907	+
FASTK	chr7	151076624	151080866	151080794	151080844	-
CDH4	chr20	61894910	61940574	61570134	61570184	+
CEP290	chr12	88049016	88142099	88142027	88142077	-
NHEJ1	chr2	219069357	219160865	219160803	219160853	-
NME9	chr3	138261437	138329886	138329816	138329844	-
FAM76B	chr11	95768953	95790409	95789511	95789561	-
CCDC144A	chr17	16689537	16777881	16690324	16690374	+
MYO5C	chr15	52192322	52295804	52295694	52295744	-
NDST3	chr4	118033618	118258634	118033617	118033667	+
ANAPC11	chr17	81890790	81900991	81891720	81891770	+
PARD6G	chr18	80157232	80247514	80247496	80247546	-
BHLHE40	chr3	4979437	4985323	4979436	4979486	+
GCKR	chr2	27496839	27523684	27506509	27506559	+
MROH6	chr8	143566192	143572772	143568837	143568887	-
HOOK3	chr8	42896946	43030535	43000818	43000868	+
NCAPH	chr2	96335766	96377091	96335786	96335836	+
H1-3	chr6	26234212	26234987	26234883	26234933	-
NSF	chr17	46419843	46586373	46624035	46624085	+
LRRTM2	chr5	138868921	138875368	138875318	138875368	-
KATNBL1	chr15	34140674	34210096	34210029	34210079	-
MSRB1	chr16	1938229	1943199	1943149	1943199	-
H3C6	chr6	26224199	26227473	26224198	26224248	+
COL7A1	chr3	48564073	48595329	48567313	48567363	-
MACROH2A2	chr10	70052544	70112282	70052795	70052845	+
TRIM25	chr17	56836387	56914080	56891476	56891526	-
SLC37A2	chr11	125063302	125090516	125083847	125083877	+
CAPRIN2	chr12	30709552	30823302	30754838	30754888	-
CYP2C19	chr10	94762681	94855547	94762680	94762730	+
SERF1A	chr5	70900669	70918530	70900664	70900714	+
TSSK2	chr22	19131308	19132622	19130807	19130857	+
ALG10	chr12	34022468	34029694	34022472	34022522	+
SRRM2	chr16	2752626	2772538	2768550	2768600	+
TLX3	chr5	171309248	171312139	171309283	171309333	+
KPNA3	chr13	49699320	49792682	49705702	49705752	-
PNPLA3	chr22	43923792	43964488	43933006	43933056	+
CCDC40	chr17	80036632	80100613	80036657	80036691	+
HTT	chr4	3041363	3243957	3228712	3228745	+
STOX2	chr4	183797692	184023526	183853430	183853480	+
CRYGB	chr2	208142573	208146158	208146118	208146168	-
MT1G	chr16	56666730	56668065	56668015	56668065	-
ALDH18A1	chr10	95605941	95656711	95656656	95656706	-
EIF5AL1	chr10	79512533	79516440	79512600	79512650	+
AATK	chr17	81110487	81166221	81166027	81166077	-
CHORDC1	chr11	90200429	90223077	90223027	90223077	-
EEA1	chr12	92770637	92929331	92929277	92929327	-
ADCY6	chr12	48766194	48789089	48788987	48789037	-
PRICKLE4	chr6	41780782	41787452	41784118	41784168	+
CCDC47	chr17	63745255	63776351	63773520	63773570	-
PNOC	chr8	28316986	28343355	28316985	28317035	+
ING3	chr7	120950763	120977216	120950762	120950812	+
C3orf33	chr3	155762617	155806278	155806301	155806351	-
COL22A1	chr8	138588235	138914041	138779512	138779562	-
RPP40	chr6	4994717	5004063	5004013	5004063	-
PSME3	chr17	42824385	42843760	42833398	42833448	+
SNAPC4	chr9	136375567	136400176	136398747	136398797	-
SCYL1	chr11	65525077	65538704	65525076	65525126	+
SPC25	chr2	168834132	168913371	168890395	168890445	-
RACK1	chr5	181236897	181248096	181243897	181243947	-
PSMG3	chr7	1567332	1571005	1570008	1570045	-
TRMT10B	chr9	37753803	37778972	37753802	37753852	+
MCUR1	chr6	13786557	13814568	13814518	13814568	-
ZNF12	chr7	6688433	6706947	6706486	6706536	-
UBE2F-SCLY	chr2	237967014	238099412	237967013	237967063	+
RMDN1	chr8	86468257	86514357	86486520	86486570	-
DNAJB6	chr7	157335381	157417439	157381820	157381870	+
ABCG4	chr11	119149052	119162653	119155629	119155679	+
KCNIP1	chr5	170353487	170736632	170353486	170353536	+
PDCD4	chr10	110871795	110900006	110885252	110885302	+
MSX1	chr4	4859665	4863936	4859665	4859715	+
KBTBD3	chr11	106051098	106077459	106077311	106077349	-
PROZ	chr13	113158648	113172386	113164518	113164568	+
MKS1	chr17	58205441	58219605	58219255	58219305	-
KREMEN2	chr16	2964216	2968383	2964274	2964324	+
GADL1	chr3	30726197	30894661	30779023	30779073	-
ACVRL1	chr12	51906908	51923361	51921651	51921701	+
SPRY1	chr4	123396795	123403760	123396794	123396844	+
GLYATL1B	chr11	59086307	59094786	59086306	59086356	+
MPI	chr15	74890005	74902219	74890038	74890088	+
OSM	chr22	30262829	30266851	30266789	30266839	-
UGT2B11	chr4	69199951	69214748	69205643	69205693	-
HKDC1	chr10	69220332	69267552	69220302	69220352	+
IL10RA	chr11	117986370	118003037	117994958	117995008	+
FAM102A	chr9	127940582	127980989	127948109	127948159	-
B4GALT1	chr9	33104082	33167356	33167306	33167356	-
SPECC1	chr17	20008865	20319026	20155988	20156038	+
ZPLD1	chr3	102099244	102479841	102099243	102099281	+
SRGAP3	chr3	8980591	9363053	9216710	9216760	-
DTWD2	chr5	118836074	118988547	118988489	118988539	-
SFRP4	chr7	37905932	38025695	37909789	37909839	-
INTS9	chr8	28767661	28890242	28889914	28889964	-
GNMT	chr6	42960754	42963880	42960757	42960807	+
KCNJ5	chr11	128891356	128921163	128891355	128891405	+
KRTAP13-3	chr21	30425265	30425968	30425918	30425968	-
DYRK1A	chr21	37365573	37526358	37366933	37366983	+
SMN2	chr5	69673667	69702549	70049656	70049706	+
RFLNB	chr17	439978	445939	445889	445939	-
TANGO6	chr16	68843531	69085182	69026574	69026624	+
RP1L1	chr8	10606349	10712187	10712137	10712187	-
KRTAP16-1	chr17	41307700	41309253	41309203	41309253	-
HEPHL1	chr11	94021354	94114208	94021360	94021410	+
NPAP1	chr15	24675775	24683393	24675867	24675917	+
CCDC39	chr3	180602858	180684942	180870955	180871005	-
PTAR1	chr9	69709522	69760011	69759909	69759959	-
HOXA6	chr7	27145396	27150603	27147724	27147774	-
FABP6	chr5	160187367	160238735	160213726	160213776	+
PDK4	chr7	95583499	95596516	95589667	95589717	-
RALGAPA2	chr20	20389530	20712644	20639850	20639900	-
CD93	chr20	23079360	23086324	23086290	23086340	-
ADAMTS15	chr11	130448645	130476645	130448973	130449023	+
ACSL3	chr2	222860942	222944639	222920953	222921003	+
TEX19	chr17	82359247	82363775	82359246	82359285	+
ACAD10	chr12	111686053	111757107	111686055	111686105	+
KRTAP13-1	chr21	30396031	30396822	30396073	30396123	+
MOGAT3	chr7	101195007	101201038	101200865	101200915	-
AUH	chr9	91213815	91361918	91220869	91220919	-
OR4X1	chr11	48263861	48264778	48263860	48263910	+
PARD6B	chr20	50731580	50756795	50731543	50731593	+
RNF213	chr17	80260852	80398794	80382362	80382412	+
GTF2H1	chr11	18322295	18367045	18322546	18322596	+
TSPAN11	chr12	30926428	30996602	30926903	30926953	+
PDPR	chr16	70114332	70162537	70145803	70145853	+
